0	2.75	2.33
100	2.85	2.33
200	2.95	2.33
300	3.05	2.23
#Wait for 3400 seconds ... att 3.05	2.23 
3800	3.15	2.33
3900	3.25	2.33
4000	3.35	2.33
4100	3.45	2.43
4200	3.55	2.53
4300	3.65	2.53
4400	3.75	2.53
4500	3.85	2.53
4600	3.95	2.53
4700	4.05	2.53
4800	4.15	2.63
#Wait for 2900 seconds ... att 4.15	2.63 
7800	4.25	2.73
7900	4.35	2.73
8000	4.45	2.63
8100	4.55	2.63
8200	4.65	2.63
8300	4.75	2.53
8400	4.85	2.53
#Wait for 7800 seconds ... att 4.85	2.53 
16300	4.95	2.53
16400	5.05	2.53
16500	5.15	2.63
16600	5.25	2.63
16700	5.35	2.63
16800	5.45	2.63
16900	5.55	2.63
17000	5.65	2.63
17100	5.75	2.63
17200	5.85	2.63
17300	5.95	2.53
17400	6.05	2.43
17500	6.15	2.33
17600	6.25	2.23
#Wait for 5900 seconds ... att 6.25	2.23 
23600	6.35	2.23
23700	6.45	2.23
23800	6.55	2.23
23900	6.65	2.23
24000	6.75	2.23
24100	6.85	2.23
24200	6.95	2.23
24300	7.05	2.23
24400	7.15	2.23
#Wait for 8700 seconds ... att 7.15	2.23 
33200	7.25	2.23
33300	7.35	2.23
33400	7.45	2.23
#Wait for 8600 seconds ... att 7.45	2.23 
42100	7.55	2.23
42200	7.65	2.23
42300	7.75	2.23
#Wait for 4900 seconds ... att 7.75	2.23 
47300	7.85	2.33
47400	7.95	2.23
47500	8.05	2.23
47600	8.15	2.23
47700	8.25	2.23
#Wait for 9800 seconds ... att 8.25	2.23 
57600	8.35	2.13
57700	8.45	2.03
57800	8.55	2.03
57900	8.65	2.03
58000	8.75	2.03
58100	8.85	2.03
58200	8.95	2.03
58300	9.05	2.03
58400	9.15	2.03
58500	9.25	1.93
58600	9.35	1.93
58700	9.45	1.93
58800	9.55	1.93
58900	9.65	1.93
59000	9.75	1.83
59100	9.85	1.73
#Wait for 900 seconds ... att 9.85	1.73 
60100	9.95	1.63
#Wait for 4700 seconds ... att 9.95	1.63 
64900	10.05	1.73
65000	10.15	1.63
65100	10.25	1.63
65200	10.35	1.63
#Wait for 9400 seconds ... att 10.35	1.63 
74700	10.45	1.63
74800	10.55	1.63
